transaction_id,customer_id,product_id,store_id,transaction_date,quantity,discount_applied,total_amount,channel,payment_method
07e2baf3-536a-468c-867c-3e9634aa1ee8,dede7f36-104e-4d71-bc74-551efcc5299c,6d8aa6db-96ee-4a60-8a23-3ae10a72a2a9,STORE_31,2025-01-02,1,0.08,386.63,Online,PayPal
4b0667ca-a448-4893-b84f-15b1e244138e,530a482b-98dc-44e8-a446-bcfbea005bf1,23d5228d-5bd4-4f6c-a82f-cb7f25e57466,STORE_8,2024-01-25,1,0.0,826.58,Online,Credit Card
2679be6a-fda1-4f19-933e-e027c24c832a,3c3d337b-1379-4d60-a379-9de9aa0c67cc,511c9048-ed8e-40c5-afd7-94de2be586e6,STORE_49,2023-09-10,5,0.11,667.9,Online,Cash
8d192ca1-d210-4fd5-85de-093f8a9e3e2d,455f91c0-6bfb-4a3e-9b7f-f01c5fe5306b,402f3b1c-44b5-48b9-a24a-bf364c4a9e49,STORE_27,2024-01-20,2,0.28,824.59,Physical,Cash
c05b4bde-c482-4ea3-9636-f4bc204b8b80,10015712-0e6f-4c44-9a56-6e6a61cc4bb1,457e8811-1274-4082-a3ff-4c01aae0c168,STORE_4,2023-11-27,2,0.02,1124.0,Physical,Cash
4bb14c1b-ce23-4d00-b9a9-b3b5713f01d9,c7d26a4f-13fe-46aa-b2d7-cc506758a72b,9999fd0a-7fc4-4281-867e-166e0a07d6a0,STORE_2,2025-01-07,1,0.04,922.93,Online,Gift Card
09d3efbf-20c1-4000-b2f4-2615704895e4,2c0210ba-6af0-46c5-bb26-97fc1bc4c5b6,3cc03cb0-c965-4f72-817f-7e66e54d7b30,STORE_49,2022-10-25,1,0.12,255.86,Online,Credit Card
a5ffffd2-140b-470a-8fad-adbceb5db8bd,63cdd3f8-e695-4b23-92fa-65f92f58ccbd,a6a73179-3a38-43fb-af55-ad6a02a04a0d,STORE_45,2024-12-03,4,0.05,3135.8,Online,Gift Card
2cc11401-926d-415a-8adc-a4f84e6111d9,e5fe88e9-9e45-4ce4-8a16-f366a8a76387,bddaada0-5a98-475c-a26b-d8fcb311090d,STORE_14,2024-07-11,3,0.1,1608.77,Physical,PayPal
a75e1ddd-2390-4ebb-9a37-6bd4a7f4b2bf,a4db8016-d17e-488e-b9a4-c1e05d2ebffb,c2a57143-4377-46fd-af90-4b0e14d821dc,STORE_30,2025-07-10,1,0.29,186.99,Physical,Gift Card
